,DateTime,Bit Box_GyroXmax(RPM),Bit Box_GyroXmed(RPM),Bit Box_Temperature(C),Bit Box_ShXpeak(g),Bit Box_ShXrms(g),Bit Box_ShXmax(g),Bit Box_ShYpeak(g),Bit Box_ShYrms(g),Bit Box_ShYmax(g),Bit Box_ShZpeak(g),Bit Box_ShZrms(g),Bit Box_ShZmax(g),Top Sub_GyroXmax(RPM),Top Sub_GyroXmed(RPM),Top Sub_GyroXmin(RPM),Top Sub_StickSlip(%),Top Sub_Temperature(C),Top Sub_ShXpeak(g),Top Sub_ShXrms(g),Top Sub_ShXmax(g),Top Sub_ShYpeak(g),Top Sub_ShYrms(g),Top Sub_ShYmax(g),Top Sub_ShZpeak(g),Top Sub_ShZrms(g),Top Sub_ShZmax(g),Surface_Hookload(klbs),Surface_Weight on Bit(klbs),Surface_Block Position(ft),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(kft-lbs),Surface_Pump Pressure(psi),Surface_Differential Pressure(psi),Surface_AD Differential Pressure Setpoint Value(psi),Surface_AD ROP Setpoint Value(ft/hr),Surface_AD WOB Setpoint Value(klbs),Surface_Flow In(GPM),Surface_Depth - Bit(ft),Surface_Total Depth(ft),Surface_ROP - Instant Depth / Hour(ft/hr),Surface_ROP Depth/Hour(ft/hr),Surface_MSE(au),Surface_MSE DownHole(au),Surface_MWD Gamma(API),Surface_MSE Surface(au),Surface_MSE Total(au),Surface_AD ROP Actual Value(ft/hr),Surface_GC_Activity_Code(Code),Surface_GC_OnBottom(bool),Surface_GC_IsStand(bool),Surface_GC_StandSteadyState(bool),Surface_GC_StandIndex(count),Surface_GC_StandIndex_OnBottom(count),Surface_GC_Rotating(bool),Surface_GC_Sliding(bool),Surface_GC_Rotary_Power(hp),Surface_GC_Hydraulic_Power(hp),Surface_GC_Linear_Power(hp),Surface_GC_Total_Power(hp),Surface_GC_Energy_per_Foot(kWh/ft),Surface_GC_Differential_Pressure(psi),Surface_GC_ROP(ft/hr),Augmented RPM(RPM)
25,2020/12/07 17:31:49.000,,,,,,,,,,,,,,,,,,,,,,,,,,,178.01381,40.74439,23.75751,0.11055,0.0,5.43276,-1124.5057,528.0,3.0,3.8,0.0,7774.1143,8025.7793,,0.0,,,,,,5343.841,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,125.71966049,125.71966049,0.015344966286,,6588.0,0.0
26,2020/12/07 17:31:50.000,,,,,,,,,,,,,,,,,,,,,,,,,,,191.7465,41.76981,22.01762,0.17093,0.0,5.34694,-1124.5444,528.0,3.0,3.8,0.0,7775.9443,8025.7793,,0.0,,,,,,5571.355,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,129.3155392,129.3155392,0.015731155289,,3080.52,0.0
27,2020/12/07 17:31:51.000,,,,,,,,,,,,,,,,,,,,,,,,,,,194.81717,42.62488,21.16162,0.25144,0.0,5.33714,-1124.5568,528.0,3.0,3.8,0.0,7776.8,8025.7793,,0.0,,,,,,5625.736,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,131.96585826,131.96585826,0.016053187851,,9769.32,0.0
28,2020/12/07 17:31:52.000,,,,,,,,,,,,,,,,,,,,,,,,,,,169.56947,40.13811,19.30411,0.21118,0.0,5.74662,-1124.5016,528.0,3.0,3.8,0.0,7779.5137,8025.7793,,0.0,,,,,,5853.0093,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,122.87297886,122.87297886,0.015116631879,,3566.52,0.0
29,2020/12/07 17:31:53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,192.04504,41.65454,17.30271,0.0703,0.0,4.9301,-1124.4747,528.0,3.0,3.8,0.0,7780.5044,8025.7793,,0.0,,,,,,6140.593,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,124.86239939,124.86239939,0.015687742827,,7691.76,0.0
30,2020/12/07 17:31:54.000,,,,,,,,,,,,,,,,,,,,,,,,,,,174.30342,40.21894,15.0875,0.11055,0.0,6.10462,-1124.43,528.0,3.0,3.8,0.0,7782.641,8025.7793,,0.0,,,,,,6525.897,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,107.76510205,107.76510205,0.015147073704,,15314.4,0.0
31,2020/12/07 17:31:55.000,,,,,,,,,,,,,,,,,,,,,,,,,,,196.52309,40.34549,11.92281,0.05017,0.0,6.2027,-1124.3362,528.0,3.0,3.8,0.0,7786.895,8025.7793,,0.0,,,,,,6892.787,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,100.40188188,100.40188188,0.015194734388,,3070.8,0.0
32,2020/12/07 17:31:56.000,,,,,,,,,,,,,,,,,,,,,,,,,,,176.39317,38.52536,10.2621,0.0,0.0,5.63138,-1124.3107,528.0,3.0,3.8,0.0,7787.748,8025.7793,,0.0,,,,,,6716.51,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,91.864361622,91.864361622,0.014509245331,,5695.2,0.0
33,2020/12/07 17:31:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,186.03165,38.89234,8.7926,0.1508,0.0,5.32242,-1124.301,528.0,3.0,3.8,0.0,7789.33,8025.7793,,0.0,,,,,,6409.638,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,84.112419965,84.112419965,0.014647455664,,7917.48,0.0
34,2020/12/07 17:31:58.000,,,,,,,,,,,,,,,,,,,,,,,,,,,182.87569,37.86719,7.28848,0.05017,0.0,5.75398,-1124.2648,528.0,3.0,3.8,0.0,7791.5293,8025.7793,,0.0,,,,,,6159.861,11.0,1.0,1.0,1.0,26.0,26.0,0.0,1.0,0.0,0.0,77.967705913,77.967705913,0.014261368348,,4701.96,0.0
