,DateTime,Bit Box_ShYpeak(g),Surface_Total Depth(ft),Surface_Weight on Bit(klbs),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(ft-lbs)
8951,2020/11/24 02:23:06.000,5.8361677332,5892.0117,2.47421,0.23131,0.0
8952,2020/11/24 02:23:07.000,5.3195132465,5892.0117,2.68771,0.23131,0.0
8953,2020/11/24 02:23:08.000,4.8028587598,5892.0117,3.08945,0.09042,0.0
8954,2020/11/24 02:23:09.000,4.286204273,5892.0117,3.12252,0.1508,0.0
8955,2020/11/24 02:23:10.000,3.7695497863,5892.0117,3.40112,0.37219,0.0
8956,2020/11/24 02:23:11.000,3.2528952996,5892.0117,3.25433,0.0,0.0
8957,2020/11/24 02:23:12.000,3.2814882704,5892.0117,3.17321,0.1508,0.0
8958,2020/11/24 02:23:13.000,3.3100812412,5892.0117,3.43618,0.09042,0.0
8959,2020/11/24 02:23:14.000,3.3386742119,5892.0117,3.50691,0.00992,0.0
8960,2020/11/24 02:23:15.000,3.3672671827,5892.0117,3.21509,0.13068,0.0
8961,2020/11/24 02:23:16.000,3.3958601535,5892.0117,3.24151,0.11055,0.0
8962,2020/11/24 02:23:17.000,3.5414072942,5892.0117,2.96617,0.21118,0.0
8963,2020/11/24 02:23:18.000,3.6869544349,5892.0117,3.41655,0.17093,0.0
8964,2020/11/24 02:23:19.000,3.8325015755,5892.0117,3.28628,0.09042,0.0
8965,2020/11/24 02:23:20.000,3.9780487162,5892.0117,3.72791,0.05017,0.0
8966,2020/11/24 02:23:21.000,4.1235958569,5892.0117,3.90517,0.19106,0.0
8967,2020/11/24 02:23:22.000,3.9841053547,5892.0117,4.38152,0.11055,0.0
8968,2020/11/24 02:23:23.000,3.8446148525,5892.0117,4.25257,0.23131,0.0
8969,2020/11/24 02:23:24.000,3.7051243504,5892.0117,4.23379,0.13068,0.0
8970,2020/11/24 02:23:25.000,3.5656338482,5892.0117,4.17801,0.23131,0.0
8971,2020/11/24 02:23:26.000,3.426143346,5892.0117,4.0711,0.23131,0.0
